LOCATION CODE,COUNTY,AREA NAME,REGION,SCHOOL YEARS,NO. OVERWEIGHT,PCT OVERWEIGHT,NO. OBESE,PCT OBESE,NO. OVERWEIGHT OR OBESE,PCT OVERWEIGHT OR OBESE,GRADE LEVEL,AREA TYPE,STREET ADDRESS,CITY,STATE,ZIP CODE,Location 1
240201,LIVINGSTON,CALEDONIA-MUMFORD CENTRAL SCHOOL DISTRICT,FINGER LAKES,2012-2014,49,19.5%,42,16.7%,91,36.3%,DISTRICT TOTAL,SCHOOL DISTRICT,99 NORTH ST,CALEDONIA,,14423,"(42.943297, -77.838265)"
240201,LIVINGSTON,CALEDONIA-MUMFORD CENTRAL SCHOOL DISTRICT,FINGER LAKES,2012-2014,22,21.6%,19,18.6%,41,40.2%,ELEMENTARY,SCHOOL DISTRICT,99 NORTH ST,CALEDONIA,,14423,"(42.943297, -77.838265)"
240201,LIVINGSTON,CALEDONIA-MUMFORD CENTRAL SCHOOL DISTRICT,FINGER LAKES,2012-2014,27,19.4%,20,14.4%,47,33.8%,MIDDLE/HIGH,SCHOOL DISTRICT,99 NORTH ST,CALEDONIA,,14423,"(42.943297, -77.838265)"
240401,LIVINGSTON,GENESEO CENTRAL SCHOOL DISTRICT,FINGER LAKES,2012-2014,60,19.9%,43,14.2%,103,34.1%,DISTRICT TOTAL,SCHOOL DISTRICT,4050 AVON RD,GENESEO,,14454,"(42.794677, -77.76929)"
240401,LIVINGSTON,GENESEO CENTRAL SCHOOL DISTRICT,FINGER LAKES,2012-2014,35,20.7%,20,11.8%,55,32.5%,ELEMENTARY,SCHOOL DISTRICT,4050 AVON RD,GENESEO,,14454,"(42.794677, -77.76929)"
240401,LIVINGSTON,GENESEO CENTRAL SCHOOL DISTRICT,FINGER LAKES,2012-2014,25,19.8%,23,18.3%,48,38.1%,MIDDLE/HIGH,SCHOOL DISTRICT,4050 AVON RD,GENESEO,,14454,"(42.794677, -77.76929)"
240801,LIVINGSTON,LIVONIA CENTRAL SCHOOL DISTRICT,FINGER LAKES,2012-2014,105,17.5%,101,16.9%,206,34.4%,DISTRICT TOTAL,SCHOOL DISTRICT,40 SPRING ST,LIVONIA,,14487,"(42.811951, -77.647442)"
240801,LIVINGSTON,LIVONIA CENTRAL SCHOOL DISTRICT,FINGER LAKES,2012-2014,50,15.4%,54,16.7%,104,32.1%,ELEMENTARY,SCHOOL DISTRICT,40 SPRING ST,LIVONIA,,14487,"(42.811951, -77.647442)"
240801,LIVINGSTON,LIVONIA CENTRAL SCHOOL DISTRICT,FINGER LAKES,2012-2014,55,20.8%,47,17.7%,102,38.5%,MIDDLE/HIGH,SCHOOL DISTRICT,40 SPRING ST,LIVONIA,,14487,"(42.811951, -77.647442)"
240901,LIVINGSTON,MOUNT MORRIS CENTRAL SCHOOL DISTRICT,FINGER LAKES,2012-2014,32,16.7%,35,18.2%,67,34.9%,DISTRICT TOTAL,SCHOOL DISTRICT,30 BONADONNA AVE,MOUNT MORRIS,,14510,"(42.698994, -77.876071)"
240901,LIVINGSTON,MOUNT MORRIS CENTRAL SCHOOL DISTRICT,FINGER LAKES,2012-2014,18,15.9%,19,16.8%,37,32.7%,ELEMENTARY,SCHOOL DISTRICT,30 BONADONNA AVE,MOUNT MORRIS,,14510,"(42.698994, -77.876071)"
240901,LIVINGSTON,MOUNT MORRIS CENTRAL SCHOOL DISTRICT,FINGER LAKES,2012-2014,14,17.7%,16,20.3%,30,38%,MIDDLE/HIGH,SCHOOL DISTRICT,30 BONADONNA AVE,MOUNT MORRIS,,14510,"(42.698994, -77.876071)"
241001,LIVINGSTON,DANSVILLE CENTRAL SCHOOL DISTRICT,FINGER LAKES,2012-2014,103,20.9%,135,27.3%,238,48.2%,DISTRICT TOTAL,SCHOOL DISTRICT,284 MAIN ST,DANSVILLE,,14437,"(42.572866, -77.723485)"
241001,LIVINGSTON,DANSVILLE CENTRAL SCHOOL DISTRICT,FINGER LAKES,2012-2014,63,21.8%,71,24.6%,134,46.4%,ELEMENTARY,SCHOOL DISTRICT,284 MAIN ST,DANSVILLE,,14437,"(42.572866, -77.723485)"
241001,LIVINGSTON,DANSVILLE CENTRAL SCHOOL DISTRICT,FINGER LAKES,2012-2014,40,19.5%,64,31.2%,104,50.7%,MIDDLE/HIGH,SCHOOL DISTRICT,284 MAIN ST,DANSVILLE,,14437,"(42.572866, -77.723485)"
241101,LIVINGSTON,DALTON-NUNDA CENTRAL SCHOOL DISTRICT (KESHEQUA),FINGER LAKES,2012-2014,36,14.7%,54,22%,90,36.7%,DISTRICT TOTAL,SCHOOL DISTRICT,PO BOX 517,NUNDA,,14517,"(42.589458, -77.897084)"
241101,LIVINGSTON,DALTON-NUNDA CENTRAL SCHOOL DISTRICT (KESHEQUA),FINGER LAKES,2012-2014,27,17.4%,37,23.9%,64,41.3%,ELEMENTARY,SCHOOL DISTRICT,PO BOX 517,NUNDA,,14517,"(42.589458, -77.897084)"
241101,LIVINGSTON,DALTON-NUNDA CENTRAL SCHOOL DISTRICT (KESHEQUA),FINGER LAKES,2012-2014,6,6.8%,18,20.5%,24,27.3%,MIDDLE/HIGH,SCHOOL DISTRICT,PO BOX 517,NUNDA,,14517,"(42.589458, -77.897084)"
241701,LIVINGSTON,YORK CENTRAL SCHOOL DISTRICT,FINGER LAKES,2012-2014,48,21%,54,23.6%,102,44.5%,DISTRICT TOTAL,SCHOOL DISTRICT,PO BOX 102,RETSOF,,14539,"(42.834278, -77.881526)"
241701,LIVINGSTON,YORK CENTRAL SCHOOL DISTRICT,FINGER LAKES,2012-2014,28,20.9%,30,22.4%,58,43.3%,ELEMENTARY,SCHOOL DISTRICT,PO BOX 102,RETSOF,,14539,"(42.834278, -77.881526)"
241701,LIVINGSTON,YORK CENTRAL SCHOOL DISTRICT,FINGER LAKES,2012-2014,20,21.1%,24,25.3%,44,46.3%,MIDDLE/HIGH,SCHOOL DISTRICT,PO BOX 102,RETSOF,,14539,"(42.834278, -77.881526)"
250109,MADISON,BROOKFIELD CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,14,14.3%,16,16.3%,30,30.6%,DISTRICT TOTAL,SCHOOL DISTRICT,PO BOX 60,BROOKFIELD,,13314,"(42.81458, -75.346279)"
250109,MADISON,BROOKFIELD CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,6,14%,,,6,14%,ELEMENTARY,SCHOOL DISTRICT,PO BOX 60,BROOKFIELD,,13314,"(42.81458, -75.346279)"
250109,MADISON,BROOKFIELD CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,,,6,18.2%,6,18.2%,MIDDLE/HIGH,SCHOOL DISTRICT,PO BOX 60,BROOKFIELD,,13314,"(42.81458, -75.346279)"
250201,MADISON,CAZENOVIA CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,53,11.5%,46,10%,99,21.4%,DISTRICT TOTAL,SCHOOL DISTRICT,31 EMORY AVE,CAZENOVIA,,13035,"(42.939661, -75.83303)"
250201,MADISON,CAZENOVIA CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,26,11.6%,28,12.4%,54,24%,ELEMENTARY,SCHOOL DISTRICT,31 EMORY AVE,CAZENOVIA,,13035,"(42.939661, -75.83303)"
250201,MADISON,CAZENOVIA CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,27,11.3%,25,10.5%,52,21.8%,MIDDLE/HIGH,SCHOOL DISTRICT,31 EMORY AVE,CAZENOVIA,,13035,"(42.939661, -75.83303)"
250301,MADISON,DERUYTER CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,22,14%,33,21%,55,35%,DISTRICT TOTAL,SCHOOL DISTRICT,711 RAILROAD ST,DERUYTER,,13052,"(42.73258, -75.874702)"
250301,MADISON,DERUYTER CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,7,7.5%,17,18.3%,24,25.8%,ELEMENTARY,SCHOOL DISTRICT,711 RAILROAD ST,DERUYTER,,13052,"(42.73258, -75.874702)"
250301,MADISON,DERUYTER CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,9,15.5%,16,27.6%,25,43.1%,MIDDLE/HIGH,SCHOOL DISTRICT,711 RAILROAD ST,DERUYTER,,13052,"(42.73258, -75.874702)"
250401,MADISON,MORRISVILLE-EATON CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,43,16.4%,49,18.7%,92,35.1%,DISTRICT TOTAL,SCHOOL DISTRICT,PO BOX 990,MORRISVILLE,,13408,"(42.91956, -75.669062)"
250401,MADISON,MORRISVILLE-EATON CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,32,17.6%,29,15.9%,61,33.5%,ELEMENTARY,SCHOOL DISTRICT,PO BOX 990,MORRISVILLE,,13408,"(42.91956, -75.669062)"
250401,MADISON,MORRISVILLE-EATON CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,11,11.7%,20,21.3%,31,33%,MIDDLE/HIGH,SCHOOL DISTRICT,PO BOX 990,MORRISVILLE,,13408,"(42.91956, -75.669062)"
250701,MADISON,HAMILTON CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,21,12.3%,24,14%,45,26.3%,DISTRICT TOTAL,SCHOOL DISTRICT,47 W KENDRICK AVE,HAMILTON,,13346,"(42.821393, -75.54231)"
250701,MADISON,HAMILTON CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,12,10.8%,16,14.4%,28,25.2%,ELEMENTARY,SCHOOL DISTRICT,47 W KENDRICK AVE,HAMILTON,,13346,"(42.821393, -75.54231)"
250701,MADISON,HAMILTON CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,5,10%,5,10%,10,20%,MIDDLE/HIGH,SCHOOL DISTRICT,47 W KENDRICK AVE,HAMILTON,,13346,"(42.821393, -75.54231)"
250901,MADISON,CANASTOTA CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,81,20.4%,86,21.6%,167,42%,DISTRICT TOTAL,SCHOOL DISTRICT,120 ROBERTS ST,CANASTOTA,,13032,"(43.082961, -75.762715)"
250901,MADISON,CANASTOTA CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,36,17%,43,20.3%,79,37.3%,ELEMENTARY,SCHOOL DISTRICT,120 ROBERTS ST,CANASTOTA,,13032,"(43.082961, -75.762715)"
250901,MADISON,CANASTOTA CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,45,24.2%,43,23.1%,88,47.3%,MIDDLE/HIGH,SCHOOL DISTRICT,120 ROBERTS ST,CANASTOTA,,13032,"(43.082961, -75.762715)"
251101,MADISON,MADISON CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,46,23.7%,40,20.6%,86,44.3%,DISTRICT TOTAL,SCHOOL DISTRICT,7303 RT 20,MADISON,,13402,"(42.89829, -75.500502)"
251101,MADISON,MADISON CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,29,25%,25,21.6%,54,46.6%,ELEMENTARY,SCHOOL DISTRICT,7303 RT 20,MADISON,,13402,"(42.89829, -75.500502)"
251101,MADISON,MADISON CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,17,21.8%,15,19.2%,32,41%,MIDDLE/HIGH,SCHOOL DISTRICT,7303 RT 20,MADISON,,13402,"(42.89829, -75.500502)"
251400,MADISON,ONEIDA CITY SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,120,16.1%,146,19.6%,266,35.8%,DISTRICT TOTAL,SCHOOL DISTRICT,PO BOX 327,ONEIDA,,13421,"(43.076187, -75.649101)"
251400,MADISON,ONEIDA CITY SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,69,16.4%,78,18.5%,147,34.8%,ELEMENTARY,SCHOOL DISTRICT,PO BOX 327,ONEIDA,,13421,"(43.076187, -75.649101)"
251400,MADISON,ONEIDA CITY SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,51,16.1%,68,21.5%,119,37.5%,MIDDLE/HIGH,SCHOOL DISTRICT,PO BOX 327,ONEIDA,,13421,"(43.076187, -75.649101)"
251501,MADISON,STOCKBRIDGE VALLEY CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,85,16.5%,144,28%,229,44.6%,DISTRICT TOTAL,SCHOOL DISTRICT,PO BOX 732,MUNNSVILLE,,13409,"(42.975757, -75.591249)"
251501,MADISON,STOCKBRIDGE VALLEY CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,35,28.5%,22,17.9%,57,46.3%,ELEMENTARY,SCHOOL DISTRICT,PO BOX 732,MUNNSVILLE,,13409,"(42.975757, -75.591249)"
251501,MADISON,STOCKBRIDGE VALLEY CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,13,13.8%,26,27.7%,39,41.5%,MIDDLE/HIGH,SCHOOL DISTRICT,PO BOX 732,MUNNSVILLE,,13409,"(42.975757, -75.591249)"
251601,MADISON,CHITTENANGO CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,79,14.4%,97,17.7%,176,32.1%,DISTRICT TOTAL,SCHOOL DISTRICT,1732 FYLER RD,CHITTENANGO,,13037,"(43.056265, -75.867522)"
251601,MADISON,CHITTENANGO CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,50,15.5%,45,14%,95,29.5%,ELEMENTARY,SCHOOL DISTRICT,1732 FYLER RD,CHITTENANGO,,13037,"(43.056265, -75.867522)"
251601,MADISON,CHITTENANGO CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,29,12.8%,52,23%,81,35.8%,MIDDLE/HIGH,SCHOOL DISTRICT,1732 FYLER RD,CHITTENANGO,,13037,"(43.056265, -75.867522)"
260101,MONROE,BRIGHTON CENTRAL SCHOOL DISTRICT,FINGER LAKES,2012-2014,184,15.9%,95,8.2%,279,24.1%,DISTRICT TOTAL,SCHOOL DISTRICT,2035 MONROE AVE,ROCHESTER,,14618,"(43.116184, -77.558148)"
260101,MONROE,BRIGHTON CENTRAL SCHOOL DISTRICT,FINGER LAKES,2012-2014,93,14.5%,49,7.7%,142,22.2%,ELEMENTARY,SCHOOL DISTRICT,2035 MONROE AVE,ROCHESTER,,14618,"(43.116184, -77.558148)"
260101,MONROE,BRIGHTON CENTRAL SCHOOL DISTRICT,FINGER LAKES,2012-2014,91,17.6%,46,8.9%,137,26.5%,MIDDLE/HIGH,SCHOOL DISTRICT,2035 MONROE AVE,ROCHESTER,,14618,"(43.116184, -77.558148)"
260401,MONROE,GATES-CHILI CENTRAL SCHOOL DISTRICT,FINGER LAKES,2012-2014,382,16.1%,462,19.5%,844,35.6%,DISTRICT TOTAL,SCHOOL DISTRICT,3 SPARTAN WAY,ROCHESTER,,14624,"(43.128513, -77.729647)"
260401,MONROE,GATES-CHILI CENTRAL SCHOOL DISTRICT,FINGER LAKES,2012-2014,88,14%,111,17.7%,199,31.7%,ELEMENTARY,SCHOOL DISTRICT,3 SPARTAN WAY,ROCHESTER,,14624,"(43.128513, -77.729647)"
260401,MONROE,GATES-CHILI CENTRAL SCHOOL DISTRICT,FINGER LAKES,2012-2014,84,18.7%,104,23.1%,188,41.8%,MIDDLE/HIGH,SCHOOL DISTRICT,3 SPARTAN WAY,ROCHESTER,,14624,"(43.128513, -77.729647)"
260501,MONROE,GREECE CENTRAL SCHOOL DISTRICT,FINGER LAKES,2012-2014,607,16.1%,677,18%,1284,34.1%,DISTRICT TOTAL,SCHOOL DISTRICT,750 MAIDEN LN,ROCHESTER,,14615,"(43.204816, -77.65384)"
260501,MONROE,GREECE CENTRAL SCHOOL DISTRICT,FINGER LAKES,2012-2014,343,15%,400,17.4%,743,32.4%,ELEMENTARY,SCHOOL DISTRICT,750 MAIDEN LN,ROCHESTER,,14615,"(43.204816, -77.65384)"
260501,MONROE,GREECE CENTRAL SCHOOL DISTRICT,FINGER LAKES,2012-2014,264,18%,277,18.9%,541,36.9%,MIDDLE/HIGH,SCHOOL DISTRICT,750 MAIDEN LN,ROCHESTER,,14615,"(43.204816, -77.65384)"
260801,MONROE,EAST IRONDEQUOIT CENTRAL SCHOOL DISTRICT,FINGER LAKES,2012-2014,146,18.6%,146,18.6%,292,37.1%,DISTRICT TOTAL,SCHOOL DISTRICT,600 PARDEE RD,ROCHESTER,,14609,"(43.175867, -77.559147)"
260801,MONROE,EAST IRONDEQUOIT CENTRAL SCHOOL DISTRICT,FINGER LAKES,2012-2014,86,16.9%,74,14.6%,160,31.5%,ELEMENTARY,SCHOOL DISTRICT,600 PARDEE RD,ROCHESTER,,14609,"(43.175867, -77.559147)"
260801,MONROE,EAST IRONDEQUOIT CENTRAL SCHOOL DISTRICT,FINGER LAKES,2012-2014,54,19.8%,72,26.4%,126,46.2%,MIDDLE/HIGH,SCHOOL DISTRICT,600 PARDEE RD,ROCHESTER,,14609,"(43.175867, -77.559147)"
260803,MONROE,WEST IRONDEQUOIT CENTRAL SCHOOL DISTRICT,FINGER LAKES,2012-2014,273,10.3%,159,6%,432,16.3%,DISTRICT TOTAL,SCHOOL DISTRICT,321 LIST AVE,ROCHESTER,,14617,"(43.221623, -77.597999)"
260803,MONROE,WEST IRONDEQUOIT CENTRAL SCHOOL DISTRICT,FINGER LAKES,2012-2014,32,20.6%,5,3.2%,37,23.9%,ELEMENTARY,SCHOOL DISTRICT,321 LIST AVE,ROCHESTER,,14617,"(43.221623, -77.597999)"
260803,MONROE,WEST IRONDEQUOIT CENTRAL SCHOOL DISTRICT,FINGER LAKES,2012-2014,185,16.7%,41,3.7%,226,20.4%,MIDDLE/HIGH,SCHOOL DISTRICT,321 LIST AVE,ROCHESTER,,14617,"(43.221623, -77.597999)"
260901,MONROE,HONEOYE FALLS-LIMA CENTRAL SCHOOL DISTRICT,FINGER LAKES,2012-2014,103,13.1%,68,8.6%,171,21.7%,DISTRICT TOTAL,SCHOOL DISTRICT,20 CHURCH ST,HONEOYE FALLS,,14472,"(42.968799, -77.579991)"
260901,MONROE,HONEOYE FALLS-LIMA CENTRAL SCHOOL DISTRICT,FINGER LAKES,2012-2014,55,11.9%,40,8.7%,95,20.6%,ELEMENTARY,SCHOOL DISTRICT,20 CHURCH ST,HONEOYE FALLS,,14472,"(42.968799, -77.579991)"
260901,MONROE,HONEOYE FALLS-LIMA CENTRAL SCHOOL DISTRICT,FINGER LAKES,2012-2014,48,14.5%,28,8.5%,76,23%,MIDDLE/HIGH,SCHOOL DISTRICT,20 CHURCH ST,HONEOYE FALLS,,14472,"(42.968799, -77.579991)"
261001,MONROE,SPENCERPORT CENTRAL SCHOOL DISTRICT,FINGER LAKES,2012-2014,191,14.7%,194,14.9%,385,29.6%,DISTRICT TOTAL,SCHOOL DISTRICT,71 LYELL AVE,SPENCERPORT,,14559,"(43.18544, -77.813282)"
261001,MONROE,SPENCERPORT CENTRAL SCHOOL DISTRICT,FINGER LAKES,2012-2014,88,12.5%,106,15.1%,194,27.6%,ELEMENTARY,SCHOOL DISTRICT,71 LYELL AVE,SPENCERPORT,,14559,"(43.18544, -77.813282)"
261001,MONROE,SPENCERPORT CENTRAL SCHOOL DISTRICT,FINGER LAKES,2012-2014,103,17.2%,88,14.7%,191,31.9%,MIDDLE/HIGH,SCHOOL DISTRICT,71 LYELL AVE,SPENCERPORT,,14559,"(43.18544, -77.813282)"
261101,MONROE,HILTON CENTRAL SCHOOL DISTRICT,FINGER LAKES,2012-2014,189,14.9%,199,15.7%,388,30.6%,DISTRICT TOTAL,SCHOOL DISTRICT,225 WEST AVE,HILTON,,14468,"(43.297841, -77.795818)"
261101,MONROE,HILTON CENTRAL SCHOOL DISTRICT,FINGER LAKES,2012-2014,117,14.8%,113,14.3%,230,29%,ELEMENTARY,SCHOOL DISTRICT,225 WEST AVE,HILTON,,14468,"(43.297841, -77.795818)"
261101,MONROE,HILTON CENTRAL SCHOOL DISTRICT,FINGER LAKES,2012-2014,72,15.5%,86,18.5%,158,34%,MIDDLE/HIGH,SCHOOL DISTRICT,225 WEST AVE,HILTON,,14468,"(43.297841, -77.795818)"
261201,MONROE,PENFIELD CENTRAL SCHOOL DISTRICT,FINGER LAKES,2012-2014,272,17%,153,9.6%,425,26.6%,DISTRICT TOTAL,SCHOOL DISTRICT,PO BOX 900,PENFIELD,,14526,"(43.145637, -77.45526)"
261201,MONROE,PENFIELD CENTRAL SCHOOL DISTRICT,FINGER LAKES,2012-2014,139,15.6%,81,9.1%,220,24.7%,ELEMENTARY,SCHOOL DISTRICT,PO BOX 900,PENFIELD,,14526,"(43.145637, -77.45526)"
261201,MONROE,PENFIELD CENTRAL SCHOOL DISTRICT,FINGER LAKES,2012-2014,133,18.8%,72,10.2%,205,29%,MIDDLE/HIGH,SCHOOL DISTRICT,PO BOX 900,PENFIELD,,14526,"(43.145637, -77.45526)"
261301,MONROE,FAIRPORT CENTRAL SCHOOL DISTRICT,FINGER LAKES,2012-2014,345,16.9%,213,10.5%,558,27.4%,DISTRICT TOTAL,SCHOOL DISTRICT,38 W CHURCH ST,FAIRPORT,,14450,"(43.089481, -77.428813)"
261301,MONROE,FAIRPORT CENTRAL SCHOOL DISTRICT,FINGER LAKES,2012-2014,216,19.5%,100,9%,316,28.6%,ELEMENTARY,SCHOOL DISTRICT,38 W CHURCH ST,FAIRPORT,,14450,"(43.089481, -77.428813)"
261301,MONROE,FAIRPORT CENTRAL SCHOOL DISTRICT,FINGER LAKES,2012-2014,129,13.8%,113,12.1%,242,26%,MIDDLE/HIGH,SCHOOL DISTRICT,38 W CHURCH ST,FAIRPORT,,14450,"(43.089481, -77.428813)"
261313,MONROE,EAST ROCHESTER UNION FREE SCHOOL DISTRICT,FINGER LAKES,2012-2014,58,14.9%,66,17%,124,32%,DISTRICT TOTAL,SCHOOL DISTRICT,222 WOODBINE AVE,EAST ROCHESTER,,14445,"(43.112833, -77.490965)"
261313,MONROE,EAST ROCHESTER UNION FREE SCHOOL DISTRICT,FINGER LAKES,2012-2014,30,12.7%,40,16.9%,70,29.7%,ELEMENTARY,SCHOOL DISTRICT,222 WOODBINE AVE,EAST ROCHESTER,,14445,"(43.112833, -77.490965)"
261313,MONROE,EAST ROCHESTER UNION FREE SCHOOL DISTRICT,FINGER LAKES,2012-2014,28,18.4%,26,17.1%,54,35.5%,MIDDLE/HIGH,SCHOOL DISTRICT,222 WOODBINE AVE,EAST ROCHESTER,,14445,"(43.112833, -77.490965)"
261401,MONROE,PITTSFORD CENTRAL SCHOOL DISTRICT,FINGER LAKES,2012-2014,278,14.5%,133,7%,411,21.5%,DISTRICT TOTAL,SCHOOL DISTRICT,75 BARKER RD,PITTSFORD,,14534,"(43.062991, -77.51923)"
261401,MONROE,PITTSFORD CENTRAL SCHOOL DISTRICT,FINGER LAKES,2012-2014,150,13.6%,61,5.5%,211,19.2%,ELEMENTARY,SCHOOL DISTRICT,75 BARKER RD,PITTSFORD,,14534,"(43.062991, -77.51923)"
261401,MONROE,PITTSFORD CENTRAL SCHOOL DISTRICT,FINGER LAKES,2012-2014,128,15.8%,72,8.9%,200,24.7%,MIDDLE/HIGH,SCHOOL DISTRICT,75 BARKER RD,PITTSFORD,,14534,"(43.062991, -77.51923)"
261501,MONROE,CHURCHVILLE-CHILI CENTRAL SCHOOL DISTRICT,FINGER LAKES,2012-2014,201,14.4%,175,12.6%,376,27%,DISTRICT TOTAL,SCHOOL DISTRICT,139 FAIRBANKS RD,CHURCHVILLE,,14428,"(43.080492, -77.857148)"
261501,MONROE,CHURCHVILLE-CHILI CENTRAL SCHOOL DISTRICT,FINGER LAKES,2012-2014,107,14.5%,75,10.2%,182,24.7%,ELEMENTARY,SCHOOL DISTRICT,139 FAIRBANKS RD,CHURCHVILLE,,14428,"(43.080492, -77.857148)"
261501,MONROE,CHURCHVILLE-CHILI CENTRAL SCHOOL DISTRICT,FINGER LAKES,2012-2014,94,14.4%,100,15.3%,194,29.7%,MIDDLE/HIGH,SCHOOL DISTRICT,139 FAIRBANKS RD,CHURCHVILLE,,14428,"(43.080492, -77.857148)"
261600,MONROE,ROCHESTER CITY SCHOOL DISTRICT,FINGER LAKES,2012-2014,603,20.5%,687,23.4%,1290,43.9%,DISTRICT TOTAL,SCHOOL DISTRICT,131 W BROAD ST,ROCHESTER,,14614,"(43.157001, -77.615266)"
261600,MONROE,ROCHESTER CITY SCHOOL DISTRICT,FINGER LAKES,2012-2014,404,19.8%,453,22.2%,857,42%,ELEMENTARY,SCHOOL DISTRICT,131 W BROAD ST,ROCHESTER,,14614,"(43.157001, -77.615266)"
261600,MONROE,ROCHESTER CITY SCHOOL DISTRICT,FINGER LAKES,2012-2014,199,22.1%,234,26%,433,48.1%,MIDDLE/HIGH,SCHOOL DISTRICT,131 W BROAD ST,ROCHESTER,,14614,"(43.157001, -77.615266)"
261701,MONROE,RUSH-HENRIETTA CENTRAL SCHOOL DISTRICT,FINGER LAKES,2012-2014,208,13.4%,265,17.1%,473,30.4%,DISTRICT TOTAL,SCHOOL DISTRICT,2034 LEHIGH STATION RD,HENRIETTA,,14467,"(43.047491, -77.615759)"
261701,MONROE,RUSH-HENRIETTA CENTRAL SCHOOL DISTRICT,FINGER LAKES,2012-2014,119,13.6%,135,15.4%,254,29%,ELEMENTARY,SCHOOL DISTRICT,2034 LEHIGH STATION RD,HENRIETTA,,14467,"(43.047491, -77.615759)"
261701,MONROE,RUSH-HENRIETTA CENTRAL SCHOOL DISTRICT,FINGER LAKES,2012-2014,89,13.2%,130,19.2%,219,32.4%,MIDDLE/HIGH,SCHOOL DISTRICT,2034 LEHIGH STATION RD,HENRIETTA,,14467,"(43.047491, -77.615759)"
261801,MONROE,BROCKPORT CENTRAL SCHOOL DISTRICT,FINGER LAKES,2012-2014,194,17.9%,197,18.2%,391,36.1%,DISTRICT TOTAL,SCHOOL DISTRICT,40 ALLEN ST,BROCKPORT,,14420,"(43.21043, -77.933006)"
261801,MONROE,BROCKPORT CENTRAL SCHOOL DISTRICT,FINGER LAKES,2012-2014,114,17.7%,106,16.5%,220,34.2%,ELEMENTARY,SCHOOL DISTRICT,40 ALLEN ST,BROCKPORT,,14420,"(43.21043, -77.933006)"
261801,MONROE,BROCKPORT CENTRAL SCHOOL DISTRICT,FINGER LAKES,2012-2014,80,18.3%,91,20.8%,171,39%,MIDDLE/HIGH,SCHOOL DISTRICT,40 ALLEN ST,BROCKPORT,,14420,"(43.21043, -77.933006)"
261901,MONROE,WEBSTER CENTRAL SCHOOL DISTRICT,FINGER LAKES,2012-2014,427,16.1%,388,14.6%,815,30.7%,DISTRICT TOTAL,SCHOOL DISTRICT,119 SOUTH AVE,WEBSTER,,14580,"(43.218784, -77.457073)"
261901,MONROE,WEBSTER CENTRAL SCHOOL DISTRICT,FINGER LAKES,2012-2014,225,16.3%,202,14.6%,427,30.9%,ELEMENTARY,SCHOOL DISTRICT,119 SOUTH AVE,WEBSTER,,14580,"(43.218784, -77.457073)"
261901,MONROE,WEBSTER CENTRAL SCHOOL DISTRICT,FINGER LAKES,2012-2014,202,15.8%,186,14.6%,388,30.4%,MIDDLE/HIGH,SCHOOL DISTRICT,119 SOUTH AVE,WEBSTER,,14580,"(43.218784, -77.457073)"
262001,MONROE,WHEATLAND-CHILI CENTRAL SCHOOL DISTRICT,FINGER LAKES,2012-2014,37,18.8%,39,19.8%,76,38.6%,DISTRICT TOTAL,SCHOOL DISTRICT,13 BECKWITH AVE,SCOTTSVILLE,,14546,"(43.029249, -77.779686)"
